Date,ASHG.TA,BEZQ.TA,ENOG.TA,ESLT.TA,ICL.TA,KEN.TA,LUMI.TA,TSEM.TA
2019-02-01,0.00990099009901,-0.0046977765654427,0.0774883099532393,0.0580931263858096,-0.0401891252955083,0.0498318557016204,0.0050314465408802,0.2194620844228616
2019-03-01,0.1938997821350752,-0.1972938454934715,0.1748295102293862,-0.0159262363788766,-0.054679802955665,0.0164531158998249,-0.006257822277847,-0.0833205697656605
2019-04-01,0.069799270072992,-0.0356723084507605,0.0311345646437995,0.0664395229982965,-0.0072954663887445,0.0107434464976361,0.0331654072208231,0.0945697577276517
2019-05-01,0.2810234541577822,-0.0861788493830982,-0.0511770726714434,0.0383386581469646,-0.037795275590551,-0.0206916099773242,-0.0056887444128402,-0.1596702793466645
2019-06-01,-0.0862183754993337,0.2050711308669881,0.0358683926645092,0.0342307692307694,0.0403709765411886,0.1036179450072354,0.0339190845933797,0.0443233424159858
2019-07-01,0.0925318761384331,-0.114064210382713,0.2265035147097115,0.0502045370026032,-0.001573151546932,-0.029635457644899,0.014624505928854,0.212384762567403
2019-08-01,0.1253751250416803,-0.0749999999999997,-0.0766291657822117,-0.0345254957507084,-0.1628151260504199,0.0116216216216211,-0.0619400077911955,-0.0391678622668576
2019-09-01,0.05037037037037,0.03693692319028,-0.0358620689655173,0.056299284797359,0.0828105395232117,-0.0748063051028584,0.0274086378737539,0.0226967298790506
2019-10-01,0.1196050775740479,0.0104257566771952,-0.0128755364806867,0.0026041666666666,-0.0932792584009268,0.1146404851285012,0.0371867421180272,0.1344721857205427
2019-11-01,0.1211892164273117,0.245485832352489,-0.0007246376811595,-0.0029437229437228,0.0415335463258781,-0.0608808290155443,-0.0175370226032732,-0.0066924066924065
2019-12-01,0.1620224719101122,-0.0421125705659705,0.0212714527435341,-0.066342480027787,-0.0030674846625769,0.0175172413793103,-0.0027766759222528,0.0698367452707961
2020-01-01,-0.0029007928833876,-0.0349549989442567,-0.171360946745562,-0.0141369047619053,-0.1009230769230764,-0.0332113325199948,-0.0083532219570407,-0.0439626983165796
2020-02-01,-0.0089216446858031,-0.0433158182027443,-0.0871179662953434,-0.0188679245283019,-0.114989733059548,-0.1923724060572065,-0.091054953870838,-0.1489739042310615
2020-03-01,-0.2367906066536197,0.0023418249701433,-0.1933667083854818,-0.1107692307692308,-0.1276102088167049,-0.0972222222222219,-0.1350397175639889,-0.1515331944030961
2020-04-01,0.3302564102564096,-0.0299843537985715,0.1377036462373925,0.0261678200692041,0.0789007092198579,0.3624999999999999,-0.0362244897959178,0.1989473684210529
2020-05-01,-0.1509252120277558,0.2039341089853619,-0.2090010228435046,0.0322444678609059,-0.0328677074774027,0.0414961185603388,-0.0370566437268394,0.0103892303189928
2020-06-01,-0.1695800227014756,0.047015693199322,0.1396551724137929,-0.0322580645161285,-0.1282922684791841,-0.0744003252473231,-0.0483782297965916,-0.0433019551049965
2020-07-01,0.0989611809732099,0.0847133952341261,-0.0257186081694405,0.008438818565401,0.0419103313840155,0.0168374816983892,-0.0155979202772959,0.0743263699666967
2020-08-01,0.1263681592039796,0.1253669434065591,0.0108695652173911,-0.0523012552301254,0.1683816651075769,0.0730021598272129,0.0093896713615023,-0.0701704945751726
2020-09-01,-0.1053445229681976,0.0383511940390959,-0.0180491551459296,-0.079690949227373,-0.0296236989591674,0.0399892646269456,-0.1232558139534883,-0.0339445370510686
2020-10-01,0.0718341150333251,-0.0226130653266331,-0.0848650762612435,-0.0738786279683375,0.0247524752475243,0.0726451612903218,0.0709549071618029,0.116862745098039
2020-11-01,0.2160294795025331,-0.0812339488522247,0.3388888888888889,0.0968660968660969,0.2640901771336547,0.0164802117165886,0.1504643962848298,0.1404494382022465
2020-12-01,0.2013257575757576,-0.1049244561846896,0.0852218321097985,-0.0009445100354187,0.0420382165605094,0.118343195266272,0.0172228202368133,0.0267241379310344
2021-01-01,-0.0157654106889484,0.0484526423749035,0.0770588235294113,0.0449066414559205,0.0470660146699268,-0.0476190476190479,0.0687830687830686,0.1053136619887245
2021-02-01,-0.017299375300336,-0.0548598516139601,0.1291643910431451,-0.0296313051345852,0.1155866900175124,0.0434444444444451,0.0029702970297025,0.0714053174172543
2021-03-01,0.0236348818255912,0.1264984419669267,-0.0546553808948005,0.1018648018648012,0.0240711669283093,0.0808220636779897,0.0858835143139182,-0.0573280664438365
2021-04-01,0.1156050955414009,-0.0095211252824755,-0.0332565873624961,-0.0545800719272266,0.0654062340316804,0.0591133004926105,0.0400000000000001,0.0196626195336841
2021-05-01,0.0940622323722517,0.0336443129369157,-0.0050277851283406,-0.0545983441485789,0.1294964028776973,0.0827906976744181,0.1101398601398595,-0.0500526870389883
2021-06-01,-0.0345727332028697,-0.0289934516590632,-0.126329787234042,-0.0011834319526622,-0.0611464968152863,-0.0343642611683842,-0.0251968503937007,0.0673322240709927
2021-07-01,-0.0628378378378373,-0.0259155273437501,-0.0885844748858446,0.0132701421800949,0.0651289009497965,-0.0222419928825618,0.0008077544426491,-0.0843899397214715
2021-08-01,0.0093727469358323,0.101792982792427,0.0043420173680694,0.0909728718428443,-0.0365180467091292,0.1437670609645129,0.0694108151735264,0.0717366628830875
2021-09-01,0.0642857142857142,-0.0002624832113269,0.2590621882274692,0.0066452304394426,0.044513001322168,0.0636435958631662,0.0373584905660375,0.0303961025206524
2021-10-01,0.0157046979865768,0.0496193074280292,0.0279978869519284,0.032793867120954,0.1658227848101266,-0.0351533283470456,0.0840305565660235,0.0484119642306499
2021-11-01,0.0175763182238671,0.1205603143539636,-0.0421377183967109,-0.0490721649484528,-0.0003619254433582,0.127906976744186,0.023489932885906,0.0901960784313723
2021-12-01,0.0961038961038957,0.1470982687813899,-0.0120708154506436,0.1686903729401556,0.08653149891383,0.0859106529209622,0.0967213114754101,0.1106115107913662
2022-01-01,0.0447867298578196,0.0540961013276182,0.1398316589736628,-0.0243042671614098,-0.0536487837387539,0.1139240506329073,0.0089686098654708,-0.1279352226720649
2022-02-01,0.0069176684055342,-0.0271368135052083,0.0600285850404953,0.2492869366799773,0.2816901408450697,0.0329545454545453,0.0275555555555547,0.3909006499535736
2022-03-01,0.0766978263317942,0.0550284629981024,0.1101123595505613,0.0916286149162857,0.0494505494505491,0.1589658965896588,0.0167243367935411,0.0367156208277703
